Index,date,inflation,unemployment
0,1959-01-01,0.1727513532189473,5.833333333333333
1,1959-04-01,0.17245343757184006,5.1000000000000005
2,1959-07-01,0.5164696430620896,5.266666666666667
3,1959-10-01,0.6051609956611248,5.6000000000000005
4,1960-01-01,0.09079559641356205,5.133333333333334
5,1960-04-01,0.6009751672525265,5.233333333333333
6,1960-07-01,0.05635707844904303,5.533333333333334
7,1960-10-01,0.6421088205474934,6.266666666666666
8,1961-01-01,0.2014775016789816,6.8
9,1961-04-01,-0.03351206434316634,7.0
10,1961-07-01,0.3911051514135844,6.766666666666667
11,1961-10-01,0.14470169189668702,6.2
12,1962-01-01,0.38901856174280436,5.633333333333333
13,1962-04-01,0.3764393268379074,5.533333333333334
14,1962-07-01,0.2867857930730189,5.566666666666666
15,1962-10-01,0.24197096348437253,5.533333333333334
16,1963-01-01,0.3181917928461786,5.766666666666667
17,1963-04-01,0.18593459477194152,5.733333333333333
18,1963-07-01,0.6113537117903967,5.5
19,1963-10-01,0.27126736111111605,5.566666666666666
20,1964-01-01,0.4112109079104087,5.466666666666666
21,1964-04-01,0.16165535079211146,5.2
22,1964-07-01,0.2259522272433756,5.0
23,1964-10-01,0.46162104133118387,4.966666666666666
24,1965-01-01,0.3098952767685459,4.8999999999999995
25,1965-04-01,0.639181847235526,4.666666666666667
26,1965-07-01,0.2963903884831254,4.366666666666667
27,1965-10-01,0.5277044854881341,4.1000000000000005
28,1966-01-01,0.9343832020997089,3.8666666666666667
29,1966-04-01,0.9049303099646577,3.8333333333333335
30,1966-07-01,0.8658901144211972,3.766666666666667
31,1966-10-01,0.8175779253960069,3.6999999999999997
32,1967-01-01,0.25342118601114905,3.8333333333333335
33,1967-04-01,0.6066734074822833,3.8333333333333335
34,1967-07-01,1.005025125628145,3.7999999999999994
35,1967-10-01,1.0945273631840724,3.9
36,1968-01-01,0.984251968503913,3.733333333333333
37,1968-04-01,0.974658869395717,3.5666666666666664
38,1968-07-01,1.3513513513513598,3.533333333333333
39,1968-10-01,1.2380952380952381,3.4
40,1969-01-01,1.2229539040451654,3.4
41,1969-04-01,1.579925650557601,3.4333333333333336
42,1969-07-01,1.3723696248856276,3.5666666666666664
43,1969-10-01,1.534296028880866,3.5666666666666664
44,1970-01-01,1.6000000000000014,4.166666666666667
45,1970-04-01,1.3998250218722585,4.766666666666667
46,1970-07-01,1.035375323554777,5.166666666666667
47,1970-10-01,1.451750640478222,5.833333333333333
48,1971-01-01,0.8417508417508213,5.933333333333334
49,1971-04-01,0.9181969949916713,5.900000000000001
50,1971-07-01,0.9925558312654958,6.033333333333334
51,1971-10-01,0.7371007371007376,5.933333333333334
52,1972-01-01,0.8130081300813163,5.766666666666667
53,1972-04-01,0.6451612903225712,5.7
54,1972-07-01,0.8012820512820484,5.566666666666666
55,1972-10-01,1.0333863275039823,5.366666666666667
56,1973-01-01,1.5735641227379915,4.933333333333334
57,1973-04-01,2.091402013942689,4.933333333333334
58,1973-07-01,1.9726858877086473,4.8
59,1973-10-01,2.529761904761907,4.766666666666667
60,1974-01-01,2.9753265602321832,5.133333333333333
61,1974-04-01,2.6779422128259567,5.2
62,1974-07-01,2.8140013726836166,5.633333333333333
63,1974-10-01,3.0707610146862407,6.6000000000000005
64,1975-01-01,2.1373056994818507,8.266666666666666
65,1975-04-01,1.2048192771084265,8.866666666666667
66,1975-07-01,2.005012531328343,8.466666666666667
67,1975-10-01,1.8427518427518441,8.299999999999999
68,1976-01-01,1.1459589867309772,7.733333333333333
69,1976-04-01,0.8944543828264706,7.566666666666666
70,1976-07-01,1.5957446808510634,7.733333333333333
71,1976-10-01,1.4543339150668855,7.766666666666667
72,1977-01-01,1.83486238532109,7.5
73,1977-04-01,1.745495495495497,7.133333333333333
74,1977-07-01,1.3835085777531786,6.8999999999999995
75,1977-10-01,1.473799126637565,6.666666666666667
76,1978-01-01,1.7213555675094083,6.333333333333333
77,1978-04-01,2.2739291380222237,6.0
78,1978-07-01,2.326783867631854,6.033333333333334
79,1978-10-01,2.3244062657908016,5.8999999999999995
80,1979-01-01,2.51851851851852,5.866666666666667
81,1979-04-01,3.17919075144506,5.7
82,1979-07-01,3.2212885154061732,5.866666666666667
83,1979-10-01,3.165988240615114,5.966666666666666
84,1980-01-01,3.945637878123609,6.3
85,1980-04-01,3.3741037536904273,7.333333333333333
86,1980-07-01,1.8767849857201035,7.666666666666667
87,1980-10-01,2.8033640368442025,7.3999999999999995
88,1981-01-01,2.7658745617452407,7.433333333333334
89,1981-04-01,2.0849128127369054,7.3999999999999995
90,1981-07-01,2.7849981433345716,7.3999999999999995
91,1981-10-01,1.6257225433526035,8.233333333333334
92,1982-01-01,0.8887308922858272,8.833333333333334
93,1982-04-01,1.444679351656064,9.433333333333334
94,1982-07-01,1.7367141368530792,9.9
95,1982-10-01,0.3072721065210171,10.666666666666666
96,1983-01-01,0.0680735194009463,10.366666666666667
97,1983-04-01,1.1564625850340127,10.133333333333333
98,1983-07-01,0.9751176866173772,9.366666666666667
99,1983-10-01,0.9990009990010096,8.533333333333333
100,1984-01-01,1.4177382129904492,7.866666666666667
101,1984-04-01,0.942782834850453,7.433333333333334
102,1984-07-01,0.8695652173912993,7.433333333333334
103,1984-10-01,0.8620689655172376,7.3
104,1985-01-01,0.9180120291231386,7.233333333333333
105,1985-04-01,0.9096612296110473,7.3
106,1985-07-01,0.6216972334472937,7.2
107,1985-10-01,1.019462465245602,7.033333333333334
108,1986-01-01,0.5198776758409851,7.033333333333334
109,1986-04-01,-0.4867660480681324,7.166666666666667
